Season,Division,Team,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result
2006,AFC East,BUF,10,@HOU,2.5,36.5,"W, 24-21",Won,Over
2008,AFC East,BUF,5,@ARI,2.5,44.5,"L, 17-41",Lost,Over
2013,AFC East,BUF,3,@NYJ,2.5,41,"L, 20-27",Lost,Over
2013,AFC East,BUF,10,@PIT,2.5,42.5,"L, 10-23",Lost,Under
2013,AFC East,BUF,13,@TAM,2.5,42.5,"L, 6-27",Lost,Under
2015,AFC East,BUF,1,IND,2.5,45,"W, 27-14",Won,Under
2015,AFC East,BUF,3,@MIA,2.5,41.5,"W, 41-14",Won,Over
2015,AFC East,BUF,9,@NYJ,2.5,42.5,"W, 22-17",Won,Under
2016,AFC East,BUF,10,@CIN,2.5,48,"W, 16-12",Won,Under
2019,AFC East,BUF,1,@NYJ,2.5,41,"W, 17-16",Won,Under
2019,AFC East,BUF,17,@HOU,2.5,43,"L, 19-22",Lost,Under
2021,AFC East,BUF,5,@KAN,2.5,56.5,"W, 38-20",Won,Over
2024,AFC East,BUF,4,@BAL,2.5,46.5,"L, 10-35",Lost,Under
2002,AFC East,BUF,12,MIA,2,37,"W, 38-21",Won,Over
2013,AFC East,BUF,11,NYJ,2,39.5,"W, 37-14",Won,Over
2017,AFC East,BUF,9,NOR,2,48.5,"L, 10-47",Lost,Over
2021,AFC East,BUF,19,@KAN,2,54.5,"L, 36-42",Lost,Over
2024,AFC East,BUF,2,@MIA,2,49,"W, 31-10",Won,Under
2005,AFC East,BUF,16,@NYJ,1.5,37.5,"L, 26-30",Lost,Over
2009,AFC East,BUF,4,@MIA,1.5,37.5,"L, 10-38",Lost,Over
2010,AFC East,BUF,16,@NYJ,1.5,38,"L, 7-38",Lost,Over
2013,AFC East,BUF,15,MIA,1.5,42,"W, 19-0",Won,Under
2019,AFC East,BUF,16,NYJ,1.5,37,"L, 6-13",Lost,Under
2020,AFC East,BUF,12,@SFO,1.5,48,"W, 34-24",Won,Over
2021,AFC East,BUF,15,@NWE,1.5,43.5,"W, 33-21",Won,Over
2023,AFC East,BUF,9,@CIN,1.5,50.5,"L, 18-24",Lost,Under
2023,AFC East,BUF,13,@KAN,1.5,48.5,"W, 20-17",Won,Under
2024,AFC East,BUF,20,@KAN,1.5,48.5,"L, 29-32",Lost,Over
2007,AFC East,BUF,8,CIN,1,44,"W, 33-21",Won,Over
2008,AFC East,BUF,7,@MIA,1,41.5,"L, 16-25",Lost,Under
2015,AFC East,BUF,2,NWE,1,44,"L, 32-40",Lost,Over
2015,AFC East,BUF,13,@PHI,1,47,"L, 20-23",Lost,Under
2016,AFC East,BUF,13,PIT,1,45.5,"L, 20-27",Lost,Over
2019,AFC East,BUF,14,@PIT,1,37,"W, 17-10",Won,Under
2024,AFC East,BUF,5,@HOU,1,47.5,"L, 20-23",Lost,Under
2024,AFC East,BUF,14,@DET,1,54.5,"W, 48-42",Won,Over
2024,AFC East,BUF,19,BAL,1,51,"W, 27-25",Won,Over
2010,AFC East,BUF,13,CLE,0,39,"W, 13-6",Won,Under
2003,AFC East,BUF,1,NWE,-1,44.5,"W, 31-0",Won,Under
2003,AFC East,BUF,6,@NYJ,-1,36.5,"L, 3-30",Lost,Under
2005,AFC East,BUF,4,@NOR,-1,38.5,"L, 7-19",Lost,Under
2006,AFC East,BUF,4,MIN,-1,34.5,"W, 17-12",Won,Under
2006,AFC East,BUF,6,@DET,-1,40.5,"L, 17-20",Lost,Under
2006,AFC East,BUF,14,MIA,-1,34.5,"W, 21-0",Won,Under
2008,AFC East,BUF,1,SEA,-1,38.5,"W, 34-10",Won,Over
2008,AFC East,BUF,6,SDG,-1,45,"W, 23-14",Won,Under
2011,AFC East,BUF,12,TEN,-1,44,"L, 17-23",Lost,Under
2014,AFC East,BUF,6,NWE,-1,44,"L, 22-37",Lost,Over
2015,AFC East,BUF,5,@TEN,-1,42,"W, 14-13",Push,Under
2016,AFC East,BUF,2,NYJ,-1,40.5,"L, 31-37",Lost,Over
2019,AFC East,BUF,2,@NYG,-1,44.5,"W, 28-14",Won,Under
2019,AFC East,BUF,7,PHI,-1,39.5,"L, 13-31",Lost,Over
2024,AFC East,BUF,6,@NYJ,-1,40.5,"W, 23-20",Won,Over
2010,AFC East,BUF,9,DET,-1.5,45,"W, 14-12",Won,Under
2011,AFC East,BUF,14,MIA,-1.5,40.5,"L, 23-30",Lost,Over
2014,AFC East,BUF,2,MIA,-1.5,42.5,"W, 29-10",Won,Under
2014,AFC East,BUF,9,KAN,-1.5,42,"L, 13-17",Lost,Under
2020,AFC East,BUF,3,LAR,-1.5,46.5,"W, 35-32",Won,Over
2024,AFC East,BUF,11,KAN,-1.5,46,"W, 30-21",Won,Over
2004,AFC East,BUF,10,STL,-2,40,"W, 37-17",Won,Over
2008,AFC East,BUF,13,MIA,-2,42.5,"L, 3-16",Lost,Under
2017,AFC East,BUF,7,OAK,-2,47,"W, 34-14",Won,Over
2020,AFC East,BUF,13,PIT,-2,48.5,"W, 26-15",Won,Under
2023,AFC East,BUF,14,DAL,-2,49.5,"W, 31-10",Won,Under
2005,AFC East,BUF,5,MIA,-2.5,33,"W, 20-14",Won,Over
2005,AFC East,BUF,9,KAN,-2.5,42.5,"W, 14-3",Won,Under
2007,AFC East,BUF,9,@MIA,-2.5,40.5,"W, 13-10",Won,Under
2009,AFC East,BUF,13,@KAN,-2.5,38,"W, 16-10",Won,Under
2010,AFC East,BUF,5,JAX,-2.5,41.5,"L, 26-36",Lost,Over
2011,AFC East,BUF,8,NYJ,-2.5,45,"L, 11-27",Lost,Under
2012,AFC East,BUF,10,MIA,-2.5,46,"W, 19-14",Won,Under
2014,AFC East,BUF,3,SDG,-2.5,45.5,"L, 10-22",Lost,Under
2014,AFC East,BUF,11,NYJ,-2.5,42.5,"W, 38-3",Won,Under
2015,AFC East,BUF,14,@WAS,-2.5,44,"L, 25-35",Lost,Over
2016,AFC East,BUF,5,@LAR,-2.5,41.5,"W, 30-19",Won,Over
2016,AFC East,BUF,7,@MIA,-2.5,46,"L, 25-28",Lost,Over
2017,AFC East,BUF,16,@MIA,-2.5,41.5,"W, 22-16",Won,Under
2018,AFC East,BUF,14,DET,-2.5,40,"W, 14-13",Lost,Under
2020,AFC East,BUF,18,BAL,-2.5,49.5,"W, 17-3",Won,Under
2022,AFC East,BUF,1,@LAR,-2.5,52,"W, 31-10",Won,Under
2022,AFC East,BUF,6,@KAN,-2.5,54,"W, 24-20",Won,Under
2023,AFC East,BUF,1,@NYJ,-2.5,45.5,"L, 16-22",Lost,Under
2023,AFC East,BUF,4,MIA,-2.5,53,"W, 48-20",Won,Over
2023,AFC East,BUF,17,@MIA,-2.5,48,"W, 21-14",Won,Under
2023,AFC East,BUF,19,KAN,-2.5,45.5,"L, 24-27",Lost,Over
2002,AFC East,BUF,4,CHI,-3,46.5,"W, 33-27",Won,Over
2002,AFC East,BUF,9,NWE,-3,47.5,"L, 7-38",Lost,Under
2002,AFC East,BUF,14,SDG,-3,42.5,"W, 20-13",Won,Under
2003,AFC East,BUF,2,@JAX,-3,42,"W, 38-17",Won,Over
2003,AFC East,BUF,4,PHI,-3,39.5,"L, 13-23",Lost,Under
2003,AFC East,BUF,7,WAS,-3,38,"W, 24-7",Won,Under
2003,AFC East,BUF,13,NYJ,-3,37,"W, 17-6",Won,Under
2003,AFC East,BUF,15,MIA,-3,33,"L, 3-20",Lost,Under
2004,AFC East,BUF,1,JAX,-3,35,"L, 10-13",Lost,Under
2004,AFC East,BUF,14,@CIN,-3,41,"W, 33-17",Won,Over
2005,AFC East,BUF,3,ATL,-3,36,"L, 16-24",Lost,Over
2005,AFC East,BUF,6,NYJ,-3,33,"W, 27-17",Won,Over
2006,AFC East,BUF,8,GNB,-3,41,"W, 24-10",Won,Under
2008,AFC East,BUF,11,@KAN,-3,43.5,"W, 54-31",Won,Over
2011,AFC East,BUF,4,@CIN,-3,43,"L, 20-23",Lost,Push
2012,AFC East,BUF,2,KAN,-3,45,"W, 35-17",Won,Over
2012,AFC East,BUF,3,@CLE,-3,45,"W, 24-14",Won,Under
2012,AFC East,BUF,13,STL,-3,42.5,"L, 12-15",Lost,Under
2014,AFC East,BUF,12,CLE,-3,42,"W, 26-10",Won,Under
2015,AFC East,BUF,8,MIA,-3,44,"W, 33-17",Won,Over
2017,AFC East,BUF,6,TAM,-3,46.5,"W, 30-27",Push,Over
2017,AFC East,BUF,8,@NYJ,-3,42,"L, 21-34",Lost,Over
2020,AFC East,BUF,4,@LVR,-3,53,"W, 30-23",Won,Push
2020,AFC East,BUF,5,@TEN,-3,52,"L, 16-42",Lost,Over
2022,AFC East,BUF,4,@BAL,-3,51,"W, 23-20",Push,Under
2024,AFC East,BUF,8,@SEA,-3,45.5,"W, 31-10",Won,Under
2012,AFC East,BUF,16,NYJ,-3.5,41,"W, 28-9",Won,Under
2015,AFC East,BUF,12,HOU,-3.5,41.5,"W, 30-21",Won,Over
2016,AFC East,BUF,16,@NYJ,-3.5,43,"L, 10-30",Lost,Under
2017,AFC East,BUF,13,IND,-3.5,36.5,"W, 13-7",Won,Under
2017,AFC East,BUF,14,MIA,-3.5,39.5,"W, 24-16",Won,Over
2019,AFC East,BUF,11,DEN,-3.5,37,"W, 20-3",Won,Under
2021,AFC East,BUF,2,@MIA,-3.5,47.5,"W, 35-0",Won,Under
2022,AFC East,BUF,12,@NWE,-3.5,43.5,"W, 24-10",Won,Under
2024,AFC East,BUF,13,@LAR,-3.5,49.5,"L, 42-44",Lost,Over
2024,AFC East,BUF,17,@NWE,-3.5,36,"L, 16-23",Lost,Over
2009,AFC East,BUF,2,TAM,-4,42,"W, 33-20",Won,Over
2011,AFC East,BUF,2,OAK,-4,41,"W, 38-35",Lost,Over
2011,AFC East,BUF,7,WAS,-4,46.5,"W, 23-0",Won,Under
2013,AFC East,BUF,14,@JAX,-4,43,"W, 27-20",Won,Over
2015,AFC East,BUF,7,@JAX,-4,41,"L, 31-34",Lost,Over
2020,AFC East,BUF,8,NWE,-4,41,"W, 24-21",Lost,Over
2021,AFC East,BUF,12,NWE,-4,44,"L, 10-14",Lost,Under
2021,AFC East,BUF,18,NWE,-4,44,"W, 47-17",Won,Over
2024,AFC East,BUF,10,@IND,-4,46.5,"W, 30-20",Won,Over
2004,AFC East,BUF,5,MIA,-4.5,30,"W, 20-13",Won,Over
2004,AFC East,BUF,7,ARI,-4.5,33.5,"W, 38-14",Won,Over
2005,AFC East,BUF,1,HOU,-4.5,39,"W, 22-7",Won,Under
2012,AFC East,BUF,7,TEN,-4.5,46.5,"L, 34-35",Lost,Over
2013,AFC East,BUF,12,ATL,-4.5,48,"L, 31-34",Lost,Over
2016,AFC East,BUF,15,MIA,-4.5,44.5,"L, 31-34",Lost,Over
2018,AFC East,BUF,13,NYJ,-4.5,37,"L, 23-27",Lost,Over
2020,AFC East,BUF,11,LAC,-4.5,51.5,"W, 27-17",Won,Under
2022,AFC East,BUF,3,@MIA,-4.5,53,"L, 19-21",Lost,Under
2023,AFC East,BUF,3,@WAS,-4.5,43.5,"W, 37-3",Won,Under
2004,AFC East,BUF,12,@MIA,-5,34,"W, 42-32",Won,Over
2008,AFC East,BUF,8,NYJ,-5,43,"L, 17-26",Lost,Push
2008,AFC East,BUF,10,CLE,-5,40,"L, 27-29",Lost,Over
2006,AFC East,BUF,15,TEN,-5.5,38,"L, 29-30",Lost,Over
2009,AFC East,BUF,5,CLE,-5.5,42,"L, 3-6",Lost,Under
2015,AFC East,BUF,4,NYG,-5.5,45.5,"L, 10-24",Lost,Under
2018,AFC East,BUF,16,MIA,-5.5,39.5,"W, 42-17",Won,Over
2019,AFC East,BUF,3,CIN,-5.5,43.5,"W, 21-17",Lost,Under
2020,AFC East,BUF,2,@MIA,-5.5,42.5,"W, 31-28",Lost,Over
2020,AFC East,BUF,14,@DEN,-5.5,49,"W, 48-19",Won,Over
2022,AFC East,BUF,19,CIN,-5.5,49,"L, 10-27",Lost,Under
2023,AFC East,BUF,5,JAX,-5.5,48.5,"L, 20-25",Lost,Under
2024,AFC East,BUF,3,JAX,-5.5,45.5,"W, 47-10",Won,Over
2006,AFC East,BUF,3,NYJ,-6,33,"L, 20-28",Lost,Over
2012,AFC East,BUF,12,JAX,-6,42,"W, 34-18",Won,Over
2021,AFC East,BUF,6,@TEN,-6,53.5,"L, 31-34",Lost,Over
2024,AFC East,BUF,9,MIA,-6,49.5,"W, 30-27",Lost,Over
2024,AFC East,BUF,12,SFO,-6,44.5,"W, 35-10",Won,Over
2008,AFC East,BUF,12,SFO,-6.5,43,"L, 3-10",Lost,Under
2014,AFC East,BUF,7,MIN,-6.5,43.5,"W, 17-16",Lost,Under
2014,AFC East,BUF,15,@OAK,-6.5,42,"L, 24-26",Lost,Over
2015,AFC East,BUF,15,DAL,-6.5,42,"W, 16-6",Won,Under
2020,AFC East,BUF,1,NYJ,-6.5,39.5,"W, 27-17",Won,Over
2021,AFC East,BUF,1,PIT,-6.5,48.5,"L, 16-23",Lost,Under
2021,AFC East,BUF,11,@NOR,-6.5,45,"W, 31-6",Won,Under
2022,AFC East,BUF,9,MIN,-6.5,44.5,"L, 30-33",Lost,Over
2024,AFC East,BUF,1,ARI,-6.5,46.5,"W, 34-28",Lost,Over
2002,AFC East,BUF,6,@HOU,-7,44,"W, 31-24",Push,Over
2003,AFC East,BUF,5,CIN,-7,40,"W, 22-16",Lost,Under
2003,AFC East,BUF,10,HOU,-7,37.5,"L, 10-12",Lost,Under
2007,AFC East,BUF,13,MIA,-7,34,"W, 38-17",Won,Over
2017,AFC East,BUF,1,NYJ,-7,42,"W, 21-12",Won,Under
2019,AFC East,BUF,10,@MIA,-7,41.5,"W, 37-20",Won,Over
2020,AFC East,BUF,15,@NWE,-7,47.5,"W, 38-9",Won,Under
2020,AFC East,BUF,17,IND,-7,50.5,"W, 27-24",Lost,Over
2021,AFC East,BUF,3,WAS,-7,45.5,"W, 43-21",Won,Over
2021,AFC East,BUF,10,IND,-7,49.5,"L, 15-41",Lost,Over
2022,AFC East,BUF,14,MIA,-7,43.5,"W, 32-29",Lost,Over
2002,AFC East,BUF,8,DET,-7.5,50,"W, 24-17",Lost,Under
2002,AFC East,BUF,16,CIN,-7.5,45,"W, 27-9",Won,Under
2016,AFC East,BUF,6,SFO,-7.5,44,"W, 45-16",Won,Over
2022,AFC East,BUF,10,CLE,-7.5,50,"W, 31-23",Won,Over
2022,AFC East,BUF,16,NWE,-7.5,43.5,"W, 35-23",Won,Over
2023,AFC East,BUF,7,@NWE,-7.5,41.5,"L, 25-29",Lost,Over
2023,AFC East,BUF,10,DEN,-7.5,47.5,"L, 22-24",Lost,Under
2023,AFC East,BUF,11,NYJ,-7.5,39,"W, 32-6",Won,Under
2009,AFC East,BUF,16,IND,-8,32,"W, 30-7",Won,Over
2022,AFC East,BUF,15,@CHI,-8,40,"W, 35-13",Won,Over
2023,AFC East,BUF,2,LVR,-8,47,"W, 38-10",Won,Over
2008,AFC East,BUF,4,@STL,-8.5,43.5,"W, 31-14",Won,Over
